national_position,position_evolution,company_name,billing,category,company_link
18.015,1.716,"ARATZ GROUP ENGINEERING FABRICATED TECHNOLOGY, SOCIEDAD LIMITADA",grande,2899,https://ranking-empresas.eleconomista.es/ARATZ-GROUP-ENGINEERING-FABRICATED-TECHNOLOGY.html
18.147,3.328,ARENACASTING SL,grande,2451,https://ranking-empresas.eleconomista.es/ARENACASTING.html
18.170,151,METARCH DOOR PANELS SA,grande,2599,https://ranking-empresas.eleconomista.es/METARCH-DOOR-PANELS.html
18.261,114,BGB GIOVANNI BOZZETTO SA,grande,2059,https://ranking-empresas.eleconomista.es/BGB-GIOVANNI-BOZZETTO.html
18.393,2.921,AIANOX SA,grande,2452,https://ranking-empresas.eleconomista.es/AIANOX.html
18.722,5.842,PRETENSADOS DEL NORTE SL,grande,2434,https://ranking-empresas.eleconomista.es/PRETENSADOS-NORTE.html
18.741,3.905,"SHUTON, S.L.U.",grande,2815,https://ranking-empresas.eleconomista.es/SHUTON-SLU.html
18.780,4.384,NOVARGI INDUSTRIES SL.,grande,7112,https://ranking-empresas.eleconomista.es/NOVARGI-INDUSTRIES.html
18.815,578,"TUBOS DE LEGUTIANO AUTOMOCION, SOCIEDAD LIMITADA.",grande,2420,https://ranking-empresas.eleconomista.es/TUBOS-LEGUTIANO-AUTOMOCION.html
18.880,(ND),"AQUAPOOL CHEMICAL, SOCIEDAD LIMITADA.",grande,2059,https://ranking-empresas.eleconomista.es/AQUAPOOL-CHEMICAL.html
18.926,1.232,"GUNVOR BIODIESEL BERANTEVILLA, SOCIEDAD LIMITADA.",grande,2059,https://ranking-empresas.eleconomista.es/GUNVOR-BIODIESEL-BERANTEVILLA.html
18.982,1.502,EGAMASTER SL,grande,2573,https://ranking-empresas.eleconomista.es/EGAMASTER.html
19.104,1.448,SERVICIOS ALIMENTACION CONGELADOS Y REFRIGERADOS SL,grande,4617,https://ranking-empresas.eleconomista.es/SERVICIOS-ALIMENTACION-CONGELADOS-REFRIGERADOS.html
19.122,319,OBRAS PUBLICAS ONAINDIA SA,grande,4299,https://ranking-empresas.eleconomista.es/OBRAS-PUBLICAS-ONAINDIA.html
19.369,3.481,ARGHOS TECHNICAL ASSISTANCE SA,grande,7112,https://ranking-empresas.eleconomista.es/ARGHOS-TECHNICAL-ASSISTANCE.html
19.391,1.898,EUSKATFUND SL,grande,4675,https://ranking-empresas.eleconomista.es/EUSKATFUND.html
19.420,3.836,BURULAN SA,grande,2562,https://ranking-empresas.eleconomista.es/BURULAN.html
19.438,4.136,EDICAR PLASTICOS SL,grande,2229,https://ranking-empresas.eleconomista.es/EDICAR-PLASTICOS.html
19.655,2.300,NBI BEARINGS EUROPE SA,grande,2815,https://ranking-empresas.eleconomista.es/NBI-BEARINGS-EUROPE.html
19.845,3.503,ALLIANCETT TRABAJO TEMPORAL SL,grande,7820,https://ranking-empresas.eleconomista.es/ALLIANCETT-TRABAJO-TEMPORAL.html
20.081,6.088,ALCASTING LEGUTIANO SLU,grande,2451,https://ranking-empresas.eleconomista.es/ALCASTING-LEGUTIANO-SLU.html
20.197,1.607,"REI VITORIA BOULEVARD, S.L.",grande,6820,https://ranking-empresas.eleconomista.es/REI-VITORIA-BOULEVARD.html
20.286,3.278,"SASKI-BASKONIA, SOCIEDAD ANONIMA DEPORTIVA",grande,9311,https://ranking-empresas.eleconomista.es/SASKI-BASKONIA-DEPORTIVA.html
20.690,3.080,"FLANKER MOBILIARIO, S.L.",grande,3109,https://ranking-empresas.eleconomista.es/FLANKER-MOBILIARIO.html
